K,Couverture_pct,DHG_covered,Silhouette,Davies_Bouldin
1,72.96,0,,
2,75.92,73,0.5728,0.6341
3,73.41,11,0.5736,0.6145
4,75.31,58,0.6154,0.5316
5,76.94,98,0.6651,0.4812
6,82.01,223,0.5891,0.5877
7,85.79,316,0.5889,0.65
8,86.93,344,0.5938,0.6228
9,88.14,374,0.619,0.5339
10,89.0,395,0.6202,0.5452
11,89.69,412,0.5993,0.5933
12,90.46,431,0.6262,0.5712
13,93.18,498,0.6446,0.5734
14,93.42,504,0.6801,0.5219
15,94.88,540,0.6892,0.4842
16,95.13,546,0.7311,0.4164
17,95.41,553,0.7281,0.4507
18,95.57,557,0.7342,0.433
19,96.39,577,0.7233,0.4821
20,96.51,580,0.7185,0.5199
21,96.83,588,0.7338,0.451
22,97.12,595,0.732,0.4762
23,97.16,596,0.7395,0.4585
24,97.65,608,0.7364,0.4546
25,97.77,611,0.7418,0.4416
26,97.93,615,0.7435,0.4394
27,97.93,615,0.7525,0.4145
28,97.85,613,0.739,0.4477
29,98.34,625,0.7355,0.4636
