Hub_ID,Hub,Operateur,Type,Latitude,Longitude,Rayon_km,N_drones,N_facilities,CAPEX_USD,OPEX_annuel_USD
0,Omenako,Zipline,Zipline,6.2027,-0.4462,80,0,288,0,0
1,Mpanya,Zipline,Zipline,7.0545,-1.3855,80,0,288,0,0
2,Vobsi,Zipline,Zipline,10.347,-0.8035,80,0,288,0,0
3,Sefwi Wiawso,Zipline,Zipline,6.182,-2.4845,80,0,288,0,0
4,Anum,Zipline,Zipline,6.4885,0.1625,80,0,288,0,0
5,Kete Krachi,Zipline,Zipline,7.7981,-0.0125,80,0,290,0,0
6,MASA_01,MASA,VTOL,9.363791,-0.8348829,30,3,22,50000,19750
7,MASA_02,MASA,VTOL,10.0090085,-2.5555843,30,3,22,50000,19750
8,MASA_03,MASA,VTOL,5.2045994,-1.056271,30,3,22,50000,19750
9,MASA_04,MASA,VTOL,5.3658203,-1.9409662,30,3,22,50000,19750
10,MASA_05,MASA,VTOL,6.0293181,0.9257891,30,3,22,50000,19750
11,MASA_06,MASA,VTOL,7.4832239,-2.1730852,30,3,22,50000,19750
12,MASA_07,MASA,VTOL,7.2147318,0.4720568,30,3,21,50000,19750
13,MASA_08,MASA,VTOL,4.9651163,-1.7268216,30,3,21,50000,19750
14,MASA_09,MASA,VTOL,5.3875577,-0.648335,30,3,21,50000,19750
15,MASA_10,MASA,VTOL,5.4908372,-1.5329901,30,3,21,50000,19750
16,MASA_11,MASA,VTOL,8.4959459,0.3139676,30,3,21,50000,19750
17,MASA_12,MASA,VTOL,7.8337554,-1.7955021,30,3,21,50000,19750
18,MASA_13,MASA,VTOL,4.9832476,-2.5690692,30,3,21,50000,19750
19,MASA_14,MASA,VTOL,7.586238,-2.7854284,30,3,21,50000,19750
20,MASA_15,MASA,VTOL,9.2826508,0.0185152,30,3,21,50000,19750
21,MASA_16,MASA,VTOL,7.1593665,-2.404393,30,3,21,50000,19750
22,MASA_17,MASA,VTOL,9.2138807,-1.8568477,30,3,21,50000,19750
23,MASA_18,MASA,VTOL,10.490573,-2.5007604,30,3,21,50000,19750
24,MASA_19,MASA,VTOL,9.6699231,0.1957063,30,3,21,50000,19750
25,MASA_20,MASA,VTOL,7.7763431,-1.3342887,30,3,21,50000,19750
26,MASA_21,MASA,VTOL,10.273154,0.207796,30,3,21,50000,19750
27,MASA_22,MASA,VTOL,10.8494616,-0.1778384,30,3,21,50000,19750
28,MASA_23,MASA,VTOL,6.9216504,-3.1660639,30,3,21,50000,19750
29,MASA_24,MASA,VTOL,8.656838,-1.5231321,30,3,21,50000,19750
30,MASA_25,MASA,VTOL,8.8578116,0.0551406,30,3,21,50000,19750
31,MASA_26,MASA,VTOL,10.6429732,-2.887975,30,3,21,50000,19750
32,MASA_27,MASA,VTOL,5.9677775,-1.7904634,30,3,21,50000,19750
33,MASA_28,MASA,VTOL,9.2421451,-2.3475498,30,3,21,50000,19750
34,MASA_29,MASA,VTOL,4.8667635,-2.2378492,30,3,21,50000,19750
35,MASA_30,MASA,VTOL,5.0536117,-2.8904725,30,3,21,50000,19750
36,MASA_31,MASA,VTOL,5.1148728,-1.3256942,30,3,21,50000,19750
37,MASA_32,MASA,VTOL,7.8572394,-2.3531534,30,3,21,50000,19750
